IDArt;CodProveedor;Articulo;PrecioCosto;PorcIVA;IDProveedor;IDRubro;IDMoneda;MargenMin;MargenInt;MargenMay;UniBulto;PorcDto;PorcRec;PrecioFlete;PVMin;PVInt;PVMay;CodBarra;Nota
000028;000028;7 UP  1.5L;2059.0000;0.0;3;1;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;3500.0000;2471.0000;3500.0000;7791813444411;Rubro: BEBIDAS
000029;000029;COCA COLA ZERO 1.5L;2166.0000;0.0;1;1;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;3900.0000;2599.0000;3900.0000;7790895067556;Rubro: BEBIDAS
000030;000030;IMPERIAL IPA BOT 1L;;0.0;3;1;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;4500.0000;0.0000;4500.0000;7793147570330;Rubro: BEBIDAS
000031;000031;SALTA CAUTIVA IPA 473ML;1500.0000;0.0;3;1;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;2400.0000;1800.0000;2400.0000;7793147573683;Rubro: BEBIDAS
000032;000032;SCHNEIDER 473ML;1500.0000;0.0;3;1;1;0.3;0.2;0.2;1;0.0;0.0;0.0000;1900.0000;1800.0000;1900.0000;7793147118860;Rubro: BEBIDAS
000033;000033;AGUA MINERAL VILLA DEL SUR 1.65L;;0.0;8;1;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;1500.0000;0.0000;1500.0000;7790315000149;Rubro: BEBIDAS
000034;000034;AGUA MINERAL CELLIER 600ML;;0.0;2;1;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;600.0000;0.0000;600.0000;7790639002560;Rubro: BEBIDAS
000035;000035;PARAGUITAS FELFORT;600.0000;0.0;9;5;1;1.0;0.2;0.2;1;0.0;0.0;0.0000;1200.0000;720.0000;1200.0000;121212;Rubro: GOLOSINAS
000036;000036;GRANDIET GALLETAS DE ARROZ MULT. CEREAL SIN SAL;;0.0;2;3;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;2300.0000;0.0000;2300.0000;7797330102377;Rubro: ALMACEN
000037;000037;KNOR SALSA LISTA FILETTO 340G;;0.0;2;3;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;1500.0000;0.0000;1500.0000;7794000008052;Rubro: ALMACEN
000038;000038;COFLER BLOCK MITI MITI 170G;4887.0000;0.0;10;5;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;7300.0000;5864.0000;7300.0000;7790580132750;Rubro: GOLOSINAS
000039;000039;ACEITE CAÑUELAS GIRASOL 900ML;2390.0000;0.0;2;3;1;0.4;0.2;0.2;1;0.0;0.0;0.0000;3300.0000;2868.0000;3300.0000;7792180001641;Rubro: ALMACEN
