Codigo,Producto,Precio,Costo,Categorias,Stock,StockMinimo,CodigoBarras,Unidad,CantidadEnvase,Ubicacion
000059,HELLMANNS KETCHUP 250G,2100.0,1750.0,ALMACEN,13,0,7794000006188,Unidades,0,
000060,HELLMANNS SALSA GOLF 250G,,,ALMACEN,11,0,7794000007741,Unidades,0,
000061,SAVORA ORIGINAL 250G,1336.0,1113.0,ALMACEN,6,0,7794000006478,Unidades,0,
000062,MAYOLIVA 250CM,,,ALMACEN,6,0,7791866003283,Unidades,0,
000063,HELLMANNS BARBACOA 250G,,,ALMACEN,0,0,7794000007802,Unidades,0,
000064,HELLMANNS PICANTE 250G,,,ALMACEN,5,0,7794000008915,Unidades,0,
000065,HELLMANNS LIVIANA 250G,,,ALMACEN,-1,0,7794000007093,Unidades,0,
000066,HELLMANNS AHUMADA,,,ALMACEN,0,0,7794000006560,Unidades,0,
000067,HELLMANNS AJO,,,ALMACEN,-1,0,7794000006553,Unidades,0,
000068,HELLMANNS MAYONESA CLASICA 250G,1900.0,1301.0,ALMACEN,-3,0,7794000006065,Unidades,0,
000069,SAVORA 60G,900.0,532.0,ALMACEN,28,0,7794000006515,Unidades,0,
000070,HELLMANNS KETCHUP 60G,1000.0,636.0,ALMACEN,13,0,7794000006195,Unidades,0,
000071,NATURA SALSA GOLF 125G,,,ALMACEN,0,0,7791866000497,Unidades,0,
000072,MAYOLIVA 125CM,1121.0,934.0,ALMACEN,5,0,7791866001838,Unidades,0,
000073,HELLMANNS MAYONESA CLASICA 125G,1000.0,589.0,ALMACEN,-1,0,7794000006096,Unidades,0,
000074,YERBA VERDEFLOR HIERBAS SERR. 500G,2300.0,1612.0,ALMACEN,-3,0,7793670000052,Unidades,0,
000075,YERBA VERDEFLOR MENTA 500G,1934.0,1612.0,ALMACEN,0,0,7793670000670,Unidades,0,
000076,YERBA VERDEFLOR NARANJA 500G,1934.0,1612.0,ALMACEN,0,0,7793670000632,Unidades,0,
000077,ACEITE NATURA 900ML,,,ALMACEN,-1,0,7790272001005,Unidades,0,
000078,ACEITE OLIVA INTENSO CAÑUELAS 500ML,,,ALMACEN,0,0,7792180005229,Unidades,0,
000079,ACEITE OLIVA CLASICO CAÑUELAS 500ML,12000.0,10000.0,ALMACEN,2,0,7792180005182,Unidades,0,
000080,ACEITE OLIVA LATA CLASICO CAÑUELAS 500ML,16800.0,14000.0,ALMACEN,0,0,7792180005175,Unidades,0,
000081,ACEITE OLIVA LATA INTENSO CAÑUELAS 500ML,15600.0,13000.0,ALMACEN,1,0,7792180005212,Unidades,0,
000082,MERLUZA PUGLISI ACEITE 380G,,,ALMACEN,0,0,7790748235149,Unidades,0,
000083,MERLUZA PUGLISI NATURAL 380G,,,ALMACEN,-2,0,7790748235187,Unidades,0,
000084,ARVEJAS MOLTO 300GR,600.0,500.0,ALMACEN,0,0,7798138554993,Unidades,0,
000085,CABALLA MAROLIO ACEITE 380G,1800.0,1500.0,ALMACEN,0,0,7797470195895,Unidades,0,
000086,PICADILLO MAROLIO 90G,600.0,500.0,ALMACEN,0,0,7797470000571,Unidades,0,
000087,DURAZNO MOLTO MIT 820G,1800.0,1500.0,ALMACEN,0,0,7798138551961,Unidades,0,
000088,ACEITE FRITOLIN COCINERO 120G,2400.0,2000.0,ALMACEN,2,0,7790070265333,Unidades,0,
000089,PATE MAROLIO 90G,600.0,500.0,ALMACEN,0,0,7797470000564,Unidades,0,
000090,CABALLA MAROLIO NATURAL 380G,2400.0,2000.0,ALMACEN,0,0,7797470195901,Unidades,0,
000091,ATUN EL DIQUE AGUA Y AC 170G,1440.0,1200.0,ALMACEN,1,0,7797470004838,Unidades,0,
000092,ATUN EL DIQUE NATURAL 170G,1440.0,1200.0,ALMACEN,-1,0,7797470004821,Unidades,0,
000093,CHOCLO MAROLIO GRANO AM. 300G,960.0,800.0,ALMACEN,-2,0,7797470005347,Unidades,0,
000094,MORRON CARACAS 198G,2400.0,2000.0,ALMACEN,0,0,7790645001199,Unidades,0,
000095,POROTO MOLTO 300G,960.0,800.0,ALMACEN,2,0,7798138555037,Unidades,0,
000096,LENTEJAS MOLTO 300G,720.0,600.0,ALMACEN,0,0,7798138554986,Unidades,0,
000097,CHOCLO NOEL CREMOSO  AM. 350G,1200.0,1000.0,ALMACEN,0,0,7795184983708,Unidades,0,
000098,CHAMPIGNONES MAROLIO ENT. 400G,2160.0,1800.0,ALMACEN,0,0,7797470006320,Unidades,0,
000099,SARDINAS MAROLIO ACEITE 215G,2400.0,2000.0,ALMACEN,0,0,7797470132333,Unidades,0,
000100,GARBANZOS MOLTO 300G,1200.0,1000.0,ALMACEN,0,0,7798138555006,Unidades,0,
000101,PALMITOS MAROLIO ENT. 400G,3000.0,2500.0,ALMACEN,0,0,7797470126080,Unidades,0,
000102,JARDINERA MOLTO 300G,960.0,800.0,ALMACEN,0,0,7798138555044,Unidades,0,
000103,HARINA CAÑUELAS 000 1KG,762.0,635.0,ALMACEN,1,0,7792180139320,Unidades,0,
000104,HARINA  BLANCAFLOR LEUDANTE 1KG,,,ALMACEN,10,0,7790070562180,Unidades,0,
000105,HARINA PUREZA INTEGRAL 1KG,,,ALMACEN,-1,0,7792180134516,Unidades,0,
000106,HARINA PUREZA 0000 1KG,983.0,819.0,ALMACEN,0,0,7792180004871,Unidades,0,
000107,PIPAS CLASICAS 18G,,,ALMACEN,-3,0,77965233,Unidades,0,
000108,BARRA FLOW CEREAL  ALMENDRAS 30G,,,GOLOSINAS,-6,0,7790380020233,Unidades,0,
000109,BARRA FLOW CEREAL MZA VERDE 21G,642.0,535.0,GOLOSINAS,-8,0,7790380008286,Unidades,0,
000110,BARRA FLOW CEREAL CHOC .23G,642.0,535.0,GOLOSINAS,1,0,7790380020004,Unidades,0,
000111,AVENA QUAKER TRADICIONAL 550G,3480.0,2900.0,ALMACEN,0,0,7792170555413,Unidades,0,
000112,AVENA QUAKER INSTANTANEA 500G,3480.0,2900.0,ALMACEN,0,0,7792'70555480,Unidades,0,
000113,AVENA QUAKER EXTRAFINA 470G,3480.0,2900.0,ALMACEN,0,0,7792170555314,Unidades,0,
000114,CAJA TE LA VIRGINIA MENTA P. X20,1488.0,1240.0,ALMACEN,1,0,7790150340165,Unidades,0,
000115,CAJA TE LA VIRGINIA BOLDO X20,1854.0,1545.0,ALMACEN,1,0,7790150310267,Unidades,0,
000116,CAJA TE LA VIRGINIA LIMON X20,1800.0,1500.0,ALMACEN,1,0,7790150240175,Unidades,0,
