;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790070562043;ÑOQUIS DE PAPA;;;;LUCCHETTI;;1.850,00;3;;5.550,00
;7790580346515;OBLEA BOB;;;;ARCOR;;650,00;8;;5.200,00
;7790380026426;OBLEA MANTECOL,,,;;;;GEORGALOS;;450,00;11;;4.950,00
;7798126072355;OBLEA SINFONIA FRUTILLA;;;;GAONA;;260,00;8;;2.080,00
;7798126072331;OBLEA SINFONIA VAINILLA;;;;GAONA;;260,00;6;;1.560,00
;7793123160050;OBLITA CHOCOLATE;;;;OBLITA;;290,00;2;;580,00
;7793123013455;OBLITA GALLETA;;;;;;250,00;4;;1.000,00
;7793123160043;OBLITA LIMON;;;;OBLITA;;290,00;1;;290,00
;7793123013431;OBLITA MIX FRUTAL;;;;;;300,00;10;;3.000,00
;0027;PALILLOS;;;;;;480,00;7;;3.360,00
;00179;PALITO DE AGUA;;;;NAHUEL;;0,00;19;;0,00
;7790580388805;PALITO DE AGUA MOGUL;;;;ARCOR;;900,00;14;;12.600,00
;7790580142315;PALITO DE AGUA MOGUL;;;;ARCOR;;900,00;11;;9.900,00
;7798141971169;PAMPERITOS;;;;PROVIDENCIA;;644,00;2;;1.288,00
;7790989000018;PAN DE CARNE;;;;CHANGUITO;;2.500,00;4;;10.000,00
;409;PAN DE LOMO X  2 UN;;;;MAURI;;2.600,00;1;;2.600,00
;7798168300010;PAN DE PANCHO;;;;LA PROVEEDORA;;760,00;3;;2.280,00
;7793890258790;PAN DE PANCHO X 6;;;;LACTAL;;1.300,00;2;;2.600,00
;7792360092667;PAN DULCE C/ CHIPS;;;;BONAFIDE;;2.550,00;2;;5.100,00
;7790040127272;PAN DULCE C/ FRUTAS;;;;ARCOR;;4.631,00;2;;9.262,00
;7792360091912;PAN DULCE C/ FRUTAS;;;;BONAFIDE;;2.402,00;2;;4.804,00
;7790040127265;PAN DULCE C/CHIPS;;;;ARCOR;;7.500,00;6;;45.000,00
;7790040127319;PAN DULCE C/FRUTAS ;;;;BAGLEY;;7.000,00;5;;35.000,00
;7790040127258;PAN DULCE S/FRUTAS;;;;ARCOR;;6.000,00;5;;30.000,00
;205;PAN DULCE TIPO CASERO;;;;;;2.200,00;1;;2.200,00
;7793890258776;PAN LACTAL DE SALVADO;;;;LACTAL;;1.800,00;1;;1.800,00
;7798138554948;PAN RALLADO 500 GS;;;;MOLTO;;720,00;8;;5.760,00
;723540605831;PANDE PANCHO  JIMENEZ;;;;JIMENEZ;;900,00;20;;18.000,00
;;;;;;Pág. 26 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7798350082380;PAÑALES BOLSON;;;;DUFFY;;6.200,00;1;;6.200,00
;7794626013461;PAÑALES G 8 UN;;;;HUGGIES;;2.600,00;4;;10.400,00
;7794626015014;PAÑALES G AMARILLO 8 UN;;;;HUGGIES;;2.600,00;10;;26.000,00
;7794626013577;PAÑALES P 8 UN ;;;;HUGGIES;;2.600,00;3;;7.800,00
;7794626011856;PAÑALES XG  8 UNG;;;;HUGGIES;;2.600,00;2;;5.200,00
;7794626013485;PAÑALES XXG 8UN;;;;HUGGIES;;2.600,00;3;;7.800,00
;7791625000270;PAÑO AMARILLO;;;;EXTRALIMP;;650,00;2;;1.300,00
;7790927817128;PAÑO AMARILLO;;;;VIRULANA ;;950,00;1;;950,00
;7791625005091;PAÑO AMARILLO;;;;ECOOOO;;420,00;9;;3.780,00
;7794440005109;PAÑO AMARILLO;;;;VIRULANA ;;850,00;2;;1.700,00
;7798136921452;PAÑO DE MICRIFIBRA;;;;MEDIA NARANJA;;3.100,00;1;;3.100,00
;754697500816;PAÑUELOS DESCARTABLES;;;;MAXI SEC;;200,00;34;;6.800,00
;7793344804290;PAÑUELOS DESCARTABLES;;;;ELEGANTE;;200,00;2;;400,00
;7798066075393;PAPAS C/ PROVENZAL 65 GS;;;;SLICES;;1.000,00;2;;2.000,00
