;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790580138868;PURE DE TOMATE 520 GS;;;;LA CAMPAGNOLA;;510,00;1;;510,00
;7790036975368;PURE DE TOMATE 520 GS;;;;DE LA HUERTA;;700,00;8;;5.600,00
;7790580146115;PURE DE TOMATE 520 GS;;;;ARCOR;;600,00;9;;5.400,00
;7792882029370;QUESO CREMA ;;;;LA QUESERA;;1.527,00;4;;6.108,00
;7792882029363;QUESO CREMA CLASICO;;;;LA QUESERA;;1.500,00;6;;9.000,00
;7791058790014;QUESO GOURMET;;;;MANFREY;;2.206,00;5;;11.030,00
;403;QUESO PATEGRAS ;;;;SANCOR;;1.700,00;3,48;;5.916,00
;7791058000199;QUESO RALLADO;;;;MANFREY;;1.109,00;10;;11.090,00
;7790742222909;QUESO RAYADO;;;;LA SERENISIMA;;950,00;5;;4.750,00
;7794820000304;QUESO RAYADO 40 GS;;;;MILKAUT;;1.000,00;2;;2.000,00
;7790080040067;QUESO UNTABLE LIGHT 290 GS;;;;MENDICRIM;;2.000,00;1;;2.000,00
;7792798007387;QUILMES BOTELLA;;;;QUILMES;;3.000,00;61;;183.000,0
;;;;;;;;;;;0
;7792798007400;QUILMES NEGRA BOTELLA;;;;QUILMES;;3.000,00;9;;27.000,00
;7792798001316;QUILMES STOUT LATA;;;;QUILMES;;1.500,00;5;;7.500,00
;424;QUITA SARRO 1 L;;;;;;2.000,00;6;;12.000,00
;7791274005282;QUITAESMALTE ALGABO;;;;;;770,00;3;;2.310,00
;7791130001748;QUITAMANCHAS 400 ML;;;;VANISH;;2.500,00;1;;2.500,00
;7793253003258;QUITAMANCHAS BLANCO ;;;;AYUDIN;;1.450,00;2;;2.900,00
;7793253003234;QUITAMANCHAS COLOR;;;;AYUDIN;;1.350,00;1;;1.350,00
;7793253003241;QUITAMANCHAS COLOR 650 ML;;;;AYUDIN;;1.950,00;1;;1.950,00
;7791130001762;QUITAMANCHAS OXI-GEL 400 ML;;;;VANISH;;2.850,00;1;;2.850,00
;;;;;;Pág. 30 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790580149970;RAMEN SABOR CARNE;;;;ARCOR;;630,00;6;;3.780,00
;7790580149963;RAMEN SABOR POLLO;;;;ARCOR;;700,00;20;;14.000,00
;210;RAVIOLES 500 GS;;;;LA ITALIANA;;1.500,00;1;;1.500,00
;7795293106111;RAVIOLES 500 GS ESPINACA Y CARNE;;;;DON YEYO;;1.969,00;1;;1.969,00
;7791664000286;RAVIOLES 500 GS RICOTTA;;;;LA ITALIANA;;1.806,00;9;;16.254,00
;416;REBACILLO BOLSA 25 KG;;;;;;8.950,00;1;;8.950,00
;195;RECOLECTOR DE ORINA;;;;;;300,00;10;;3.000,00
;400;RECRIA PARA PAJARO;;;;;;800,00;5;;4.000,00
;90435225;RED BULL 355 ML;;;;RED BULL;;3.500,00;1;;3.500,00
;9002490280055;RED BULL GREEN ED 250ML;;;;RED BULL;;2.500,00;99;;247.500,0
;9002490284152;RED BULL WINTER EDITION 250ML;;;;RED BULL;;2.900,00;100;;290.000,00
;;;;;;;;;;;0
;7791625004469;REJILLA;;;;EXTRALIMP;;700,00;1;;700,00
;004;REJILLA;;;;OK;;350,00;1;;350,00
;7790560010672;REJILLA ;;;;SED METAL;;900,00;2;;1.800,00
;076625270739;REJILLA ;;;;ULTRA LIMPIO;;700,00;3;;2.100,00
;7798136921704;REJILLA AMERICANA;;;;MEDIA NARANJA;;630,00;1;;630,00
;7798024450347;REJILLA DE PABILO;;;;MISTER TRAPO;;450,00;4;;1.800,00
;7794321000049;REJILLA PABILO;;;;TASK;;512,00;2;;1.024,00
;7790580143961;RELLENO P/TARTAS CHOCLO;;;;LA CAMPAGNOLA;;1.800,00;5;;9.000,00
;7790580144111;RELLENO P/TARTAS VERDURA;;;;LA CAMPAGNOLA;;1.800,00;6;;10.800,00
;0042;REPASADOR CON FLECOS;;;;;;1.430,00;2;;2.860,00
;7798136921407;REPASADOR DE MICROFIBRA;;;;;;3.000,00;6;;18.000,00
;77980755;REPELENTE 60 GS;;;;OFF;;2.570,00;6;;15.420,00
;7899674009760;REPELENTE EN AEROSOL;;;;DOMLINE;;2.000,00;1;;2.000,00
;7791274197062;REPELENTE SPRAY;;;;VAIS;;2.000,00;7;;14.000,00
;7790740000677;REPUESTO 300 ML;;;;PLUSBELLE;;1.100,00;2;;2.200,00
;7797290195600;REPUESTO BAÑO  450 ML;;;;CIF;;1.350,00;1;;1.350,00
;7500435185172;REPUESTO MACH 3;;;;GILLETTE;;2.900,00;7;;20.300,00
;77995681;RHODESIA;;;;TERRABUSI;;435,00;21;;9.135,00
;7798138555471;RIGATTI;;;;STA ISABEL;;579,00;6;;3.474,00
;7791625008436;ROCIADOR P/ LIQUIDO 500CC;;;;ECOOOO;;1.779,00;2;;3.558,00
;7790272000954;ROCIO  VEGETAL;;;;NATURA;;3.000,00;1;;3.000,00
;7790580122652;ROCKLETS 3 CHOCOLATES;;;;ARCOR;;4.000,00;10;;40.000,00
;7790580423001;ROCKLETS MANI 120 GS;;;;ARCOR;;3.500,00;50;;0175.000,0
;7791625004049;ROLLITO DE ACERO;;;;ECOOOO;;339,00;12;;4.068,00
;7791070003222;ROLLO COCINA X 3 UN;;;;SOL MAYOR;;900,00;3;;2.700,00
;7791828000626;ROLLO COCINA X3;;;;CARTABELLA;;0,00;1;;0,00
;7798130889444;ROLLO DE COCINA X 3;;;;SUAPEL;;900,00;1;;900,00
;7797470129647;ROLLO DE COCINA X 3;;;;ESCENCIAL;;1.000,00;10;;10.000,00
;7796613302671;ROLLO DE COCINA X 3 UN;;;;CLEAN LINE;;900,00;11;;9.900,00
;4217798130889383;ROLLO DE COCINA X 3 UN;;;;CAUTIVA;;700,00;8;;5.600,00
;7790580134532;ROMERO15 GS;;;;LA CAMPAGNOLA;;650,00;2;;1.300,00
;;;;;;Pág. 31 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790150434420;SABORISANTE;;;;ALICANTE;;300,00;24;;7.200,00
;7790150434857;SABORISANTE PANCETA;;;;ALICANTE;;300,00;20;;6.000,00
;7790150433423;SABORISANTE VERDURA;;;;ALICANTE;;300,00;32;;9.600,00
;7790150438794;SABORIZANTE;;;;ALICANTE;;300,00;50;;15.000,00
;7790150438275;SABORIZANTE;;;;ALICANTE;;300,00;24;;7.200,00
;7790150439357;SABORIZANTE;;;;ALICANTE;;300,00;26;;7.800,00
;7790150437780;SABORIZANTE ALBAHACA;;;;KNORR;;300,00;13;;3.900,00
;0033;SAHUMERIOS AROMANZA;;;;;;2.500,00;2;;5.000,00
;7790936000061;SAL FINA 500 GS;;;;TRESAL;;400,00;13;;5.200,00
;7798094010342;SAL FINA 500 GS;;;;AROMAS DEL;;450,00;6;;2.700,00
;7792900092706;SAL FINA 500GS;;;;DOS ESTRELLASMONTE;;464,00;1;;464,00
;7792900000138;SAL FINA CAJA 500 GS;;;;DOS ANCLAS;;1.200,00;3;;3.600,00
;7790072002080;SAL FINA CAJA 500 GS;;;;CELUSAL;;950,00;2;;1.900,00
;7791004000099;SAL GRUESA 1 KG;;;;CELUSAL;;1.800,00;5;;9.000,00
;7792900092720;SAL GRUESA 1 KG;;;;DOS ESTRELLAS;;900,00;5;;4.500,00
;7791004000822;SAL GRUESA 500 GS;;;;CELUSAL;;1.000,00;1;;1.000,00
;7792900092683;SAL PARRILLERA 500 GS;;;;DOS ANCLAS;;850,00;5;;4.250,00
;9111499600013;SAL SABORIZADA;;;;UMAMI;;1.400,00;3;;4.200,00
;7790040147751;SALADIX BOLSA  60 GS XTRA;;;;ARCOR;;900,00;2;;1.800,00
;7790580697303;SALADIX CAJA PIZZA;;;;ARCOR;;1.100,00;2;;2.200,00
;7790040152038;SALADIX CALABRESA 40 GS;;;;ARCOR;;500,00;1;;500,00
;7790040374607;SALADIX DUO CAJA;;;;ARCOR;;1.100,00;3;;3.300,00
;7790040152014;SALADIX JAMON 40 GS;;;;ARCOR;;500,00;2;;1.000,00
;7790040133846;SALADIX PICANTE 60  GS;;;;ARCOR;;900,00;2;;1.800,00
;7790040152021;SALADIX PIZZA 40 GS;;;;ARCOR;;500,00;5;;2.500,00
;7798102770039;SALASA BOTELLA 500 GS;;;;DON CANO;;1.200,00;5;;6.000,00
;7794110766040;SALCHICHAS ;;;;LA CASONA;;800,00;10;;8.000,00
;7790079000317;SALCHICHAS X 6 UN;;;;FELA;;950,00;12;;11.400,00
;7793040065728;SALCHICHAS X6;;;;CARCARAÑA;;800,00;9;;7.200,00
;7792350068184;SALSA 1 KG;;;;INALPA;;1.300,00;2;;2.600,00
;9358410956532;SALSA 1 KG ;;;;REALEZA;;1.000,00;4;;4.000,00
;7798079670042;SALSA 500 GS;;;;DON FRANCISCO;;1.050,00;2175;;2.283.750,
;7791636000122;SALSA 500 GS;;;;OLTA;;1.000,00;7;;7.000,0000
;763571826003;SALSA BOTELLA;;;;SANTA CLARA;;1.200,00;6;;7.200,00
;7798138552814;SALSA BOTELLA 1 KG;;;;MOLTO;;1.500,00;11;;16.500,00
;412;SALSA CASERA 1 KG;;;;;;1.000,00;5;;5.000,00
;727373125740;SALSA DE AJI 270 ML;;;;CONDIMAX;;2.500,00;1;;2.500,00
;7797470007327;SALSA DE AJI PICANTE;;;;MAROLIO;;1.200,00;2;;2.400,00
;727373125764;SALSA DE AJI PICANTE CH;;;;CONDIMAX;;2.100,00;10;;21.000,00
;7791866000480;SALSA GOLF 250 GS;;;;NATURA;;1.138,00;5;;5.690,00
;7790580134440;SALSA LISTA ITALIANA;;;;LA CAMPAGNOLA;;1.000,00;1;;1.000,00
;7790580133146;SALSA LISTA POMAROLA;;;;LA CAMPAGNOLA;;1.000,00;2;;2.000,00
;;;;;;Pág. 32 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7793147572327;SALTA CAUTIVA RUBIA 473 ML;;;;SALTA  CAUTIV A;;1.500,00;6;;9.000,00
;7790645003575;SARDINAS;;;;CARACAS;;1.830,00;3;;5.490,00
;7792750000074;SARDINAS EN ACEITE;;;;MARBELLA;;1.650,00;2;;3.300,00
;7790202000320;SARDINAS EN ACEITE;;;;PENNISI;;1.822,00;2;;3.644,00
;7798121880153;SARDINAS EN ACEITE;;;;SAN REMO;;1.700,00;3;;5.100,00
;7794000006515;SAVORA 60 GS;;;;SAVORA;;464,00;109;;50.576,00
;7793147118860;SCHNEIDER 473 ML;;;;SCHNEIDER;;1.800,00;6;;10.800,00
;7793147570606;SCHNEIDER 710;;;;SCHNEIDER;;3.000,00;117;;351.000,0
;;;;;;;;;;;0
;7790895648571;SCHWEPERS 310 ML LATA;;;;COCA COLA;;1.000,00;8;;8.000,00
;005;SECADOR DE PISO N30;;;;SUPY;;1.500,00;1;;1.500,00
;7792066003516;SECADOR DE PISO N30;;;;DILON;;2.750,00;1;;2.750,00
;410;SECADOR DE PISO N40 BLANCO;;;;DILON;;3.465,00;1;;3.465,00
;7792066003325;SECADOR DE PISO N40 ROJO;;;;DILON;;3.200,00;1;;3.200,00
;7791625000232;SECADOR N 40 DE GOMA NEGRA;;;;ALMA DE ACERO;;1.870,00;1;;1.870,00
;312;SEMITA CABODI 25 KG;;;;;;7.260,00;1;;7.260,00
;7791828000404;SERVILLETA X 40;;;;FELPITA;;500,00;2;;1.000,00
;7790250057765;SERVILLETAS X 80 UN;;;;SUSEX,;;1.000,00;3;;3.000,00
;7791813444411;SEVEN UP 1,5 L DESCARTABLE;;;;SEVEN UP;;2.500,00;3;;7.500,00
;7791813555100;SEVEN UP RECCO;;;;SEVEN UP;;2.300,00;1;;2.300,00
;7790740001384;SHAMPOO 1 L;;;;PLUSBELLE;;2.500,00;2;;5.000,00
;7791293050393;SHAMPOO 1 L JAZMIN;;;;SUAVE ;;2.500,00;1;;2.500,00
;7791293046365;SHAMPOO 190 ML;;;;SEDAL;;2.500,00;2;;5.000,00
;7791293051420;SHAMPOO 190 ML;;;;SEDAL;;2.500,00;2;;5.000,00
;7500435235464;SHAMPOO 200 ML;;;;PANTENE;;3.500,00;2;;7.000,00
;7791293047003;SHAMPOO 200ML;;;;DOVE;;2.500,00;1;;2.500,00
;7791293050157;SHAMPOO 250 ML;;;;TRESEMME;;2.500,00;2;;5.000,00
;7500435248037;SHAMPOO ANTICAIDA 300 ML;;;;PANTENE;;6.681,00;2;;13.362,00
;7500435231244;SHAMPOO ANTICOMEZON 200ML;;;;HEAD  SHOULDERS;;4.165,00;2;;8.330,00
;7790740000271;SHAMPOO BALANCE 1 L;;;;PLUSBELLE;;2.800,00;12;;33.600,00
;7790010003162;SHAMPOO BEBE;;;;JOHNSONS;;3.500,00;1;;3.500,00
;7790010003063;SHAMPOO BEBE;;;;JOHNSONS;;3.500,00;1;;3.500,00
;7791293045658;SHAMPOO CERAMIDAS 190 ML;;;;SEDAL;;1.750,00;1;;1.750,00
;7500435191418;SHAMPOO COLAGENO 200 ML;;;;PANTENE;;3.500,00;2;;7.000,00
;7500435191425;SHAMPOO COLAGENO 300 ML;;;;PANTENE;;5.800,00;2;;11.600,00
;7500435229821;SHAMPOO DETOX 400 ML;;;;PANTENE;;4.900,00;1;;4.900,00
;7500435209632;SHAMPOO EQUILIBRIO 200ML;;;;PANTENE;;3.500,00;1;;3.500,00
;7500435241069;SHAMPOO KERATINA 200 ML;;;;PANTENE;;3.500,00;1;;3.500,00
;7790740000455;SHAMPOO LARGO S.;;;;PLUSBELLE;;3.000,00;1;;3.000,00
;7791293044927;SHAMPOO LISO 250 ML;;;;TRESEMMEESCENCIAL;;2.500,00;1;;2.500,00
;20201100;SHAMPOO LYR 200 ML;;;;HEAD  SHOULDERS;;4.165,00;2;;8.330,00
;20201123;SHAMPOO MANZANA 200 ML;;;;HEAD  SHOULDERS;;4.165,00;2;;8.330,00
;7500435019705;SHAMPOO P/ CASPA;;;;HEAD  SHOULDERS;;4.000,00;1;;4.000,00
;;;;;;Pág. 33 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7500435148047;SHAMPOO P/ CASPA;;;;HEAD  SHOULDERS;;3.000,00;1;;3.000,00
;7500435019712;SHAMPOO P/ CASPA;;;;HEAD  SHOULDERS;;5.000,00;1;;5.000,00
;7500435019811;SHAMPOO P/CASPA;;;;HEAD  SHOULDERS;;3.000,00;1;;3.000,00
;7500435148061;SHAMPOO P/CASPA 375 ML;;;;HEAD  SHOULDERS;;5.000,00;4;;20.000,00
;7790740001841;SHAMPOO REVITALIZANTE 750 ML;;;;PLUSBELLE;;2.500,00;2;;5.000,00
;;;;;;ESCENCIAL
;77982704;SHAMPOO SOBRE;;;;SEDAL;;150,00;50;;7.500,00
;7500435012102;SHAMPOO SOBRE;;;;PANTENE;;250,00;33;;8.250,00
;7506309803784;SHAMPOO SOBRE;;;;PANTENE;;250,00;28;;7.000,00
;7790740000257;SHAMPOO SUAVIDAD 1 L;;;;PLUSBELLE;;2.800,00;9;;25.200,00
;7791293047034;SHAMPPO 300 ML;;;;DOVE;;2.500,00;1;;2.500,00
;77983992;SHOT 35 GS;;;;;;1.500,00;3;;4.500,00
;7622202333255;SHOT 90G;;;;SHOT;;3.700,00;4;;14.800,00
;77914217;SHOT CHOCOLATE NEGRO 35 GS;;;;;;1.500,00;1;;1.500,00
;7790154008078;SIDRA 1930;;;;;;3.800,00;5;;19.000,00
;7791200200620;SKYY;;;;SKYY;;7.200,00;4;;28.800,00
;7791200200606;SKYY APRICOT;;;;SKYY;;8.000,00;10;;80.000,00
;7791200200873;SKYY APRICOT;;;;SKYY;;6.285,00;2;;12.570,00
;7791200200811;SKYY COSMIC;;;;SKYY;;10.000,00;3;;30.000,00
;7791200200835;SKYY COSMIC;;;;SKYY;;10.000,00;10000;;100.000.0
;;;;;;;;;;;00,00
;7791200200859;SKYY PINEAPPLE;;;;SKYY;;6.285,00;2;;12.570,00
;7790070417145;SNACK DE PIZZA,,;;;;GALLO;;900,00;1;;900,00
;7790070417206;SNACK DE QUESO;;;;GALLO;;900,00;2;;1.800,00
;7798113302656;SODA 1,5 L;;;;PINDAPOY;;700,00;10;;7.000,00
;7798399700047;SODA 500ML;;;;GRAZIANI;;700,00;20;;14.000,00
;7793653231558;SODA BOTELLA 2,25L;;;;TORASSO;;860,00;6;;5.160,00
;7793755000038;SODA BOTELLA 2L;;;;TALCA;;900,00;1;;900,00
;7798065734741;SODA LIMON ;;;;SIERRA DE LOS;;1.500,00;6;;9.000,00
;7798065732228;SODA SIFON 2 L;;;;NIHUILPADRES;;1.000,00;4;;4.000,00
;7793147573614;SOL 473 ML;;;;SOL;;2.000,00;4;;8.000,00
;7790150441343;SOPA EN SOBRE 68 GS;;;;ALICANTE;;850,00;1;;850,00
;7794000005860;SOPA EN SOBRE 70 GS;;;;KNORR;;1.200,00;1;;1.200,00
;7794000005853;SOPA EN SOBRE 80GS;;;;KNORR;;1.200,00;4;;4.800,00
;7794000005815;SOPA EN SOBRE107 GS;;;;KNORR;;1.200,00;1;;1.200,00
;7792066003554;SOPAPA;;;;DILON;;1.600,00;2;;3.200,00
;8008;SOPAPA ;;;;BROOMY;;750,00;1;;750,00
;1987790070336385;SPAGHETTI;;;;LUCCHETTI;;950,00;1;;950,00
;7798138552340;SPAGHETTI;;;;MOLTO;;550,00;12;;6.600,00
;7790070336385;SPAGHETTI ;;;;LUCCHETTI;;1.000,00;10;;10.000,00
;7798119220299;SPEED CHICO;;;;;;12.000,00;6;;72.000,00
;7798119220015;SPEED CHICO 250 ML;;;;;;1.300,00;20;;26.000,00
;7798119220374;SPEED CHICO ZERO;;;;;;1.000,00;1;;1.000,00
;7790895064173;SPRITE 1,5 L;;;;COCA COLA;;2.900,00;2;;5.800,00
;;;;;;Pág. 34 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790895000447;SPRITE 1,5 L DESCARTABLE;;;;COCA COLA;;2.900,00;3;;8.700,00
;7790895001000;SPRITE 2,25 L DESC;;;;COCA COLA;;3.900,00;1;;3.900,00
;7790895000829;SPRITE 500 ML;;;;COCA COLA;;1.100,00;15;;16.500,00
;7790895000225;SPRITE RETORNABLE 2 L;;;;COCA COLA;;2.500,00;159;;397.500,0
;7790895006111;SPRITE VIDRIO 1,25L;;;;COCA COLA;;2.000,00;10;;20.000,000
;7790895064166;SPRITE ZERO 2,25L DESCARTABLE;;;;COCA COLA;;3.800,00;10;;38.000,00
;7792798010561;STELLA ARTOIS 1 L;;;;QUILMES;;4.000,00;10;;40.000,00
;7792798013487;STELLA ARTOIS LATA;;;;QUILMES;;3.000,00;3;;9.000,00
;7792798010639;STELLA ARTOIS NEGRA;;;;QUILMES;;3.000,00;3;;9.000,00
;7792798010615;STELLA LATA 473 ;;;;QUILMES;;2.000,00;2;;4.000,00
;7790036975115;STEVIA 200ML;;;;SI DIET;;1.500,00;2;;3.000,00
;7792129003620;STEVIA X 40 SOBRES;;;;EQUAL SWEET;;1.850,00;1;;1.850,00
;7500435172783;SUAVISANTE CONCENTRADO 200ML;;;;DOWNY;;1.800,00;1;;1.800,00
;7798124360157;SUAVISANTE P/ ROPA;;;;ECOVITA;;1.100,00;2;;2.200,00
;7798131250014;SUAVISANTE P/ ROPA;;;;HEROE;;1.450,00;2;;2.900,00
;7798131250038;SUAVISANTE P/ ROPA;;;;HEROE;;1.450,00;2;;2.900,00
;7798124361536;SUAVISANTE P/ROPA;;;;ECOVITA;;1.100,00;2;;2.200,00
;7798124360751;SUAVISANTE P/ROPA;;;;ECOVITA;;1.100,00;1;;1.100,00
;7798131250021;SUAVISANTE P/ROPA ;;;;HEROE;;1.450,00;2;;2.900,00
;7500435140966;SUAVISANTE P/ROPA 400ML;;;;DOWNY;;3.000,00;3;;9.000,00
;7791290793729;SUAVISANTE P/ROPA LILA;;;;VIVERE;;2.500,00;3;;7.500,00
;7798124362571;SUAVISANTER 3L;;;;ECOVITA;;3.800,00;2;;7.600,00
;7798140257417;SUEROX 600 ML;;;;;;1.588,00;1;;1.588,00
;7798302400057;SURTIDAS ODISEA;;;;ODISEA;;800,00;1;;800,00
;7790380013594;TABLETA DE MANI Y CACAO 90 GS;;;;GEORGALOS;;1.500,00;100;;150.000,0
;;;;;;;;;;;0
;7500810034477;TAKIS 85 GS;;;;BARCEL;;2.000,00;3;;6.000,00
;7500810034354;TAKIS ORIGINAL 140 GS;;;;;;3.000,00;12;;36.000,00
;7500810034491;TAKIS ORIGINAL49 GS;;;;BARCEL;;1.800,00;6;;10.800,00
;7500810034347;TAKIS XPLOSION 140 GS;;;;;;3.000,00;24;;72.000,00
;7500810034484;TAKIS XPLOSION 49 GS;;;;BARCEL;;1.500,00;1;;1.500,00
;15;TALCA 3 L;;;;TALCA;;2.000,00;11;;22.000,00
;7793755001837;TALCA COLA 500 ML;;;;TALCA;;600,00;8;;4.800,00
;7793755000076;TALCA NARANJA 3L;;;;TALCA;;2.000,00;6;;12.000,00
;7791274187742;TALCO 100 GS;;;;ALGABO;;1.017,00;3;;3.051,00
;7791274009532;TALCO ALGABO 200 GS;;;;ALGABO;;2.000,00;5;;10.000,00
;7622300724368;TALLARIN;;;;TERRABUSI;;850,00;3;;2.550,00
;7790070336477;TALLARIN;;;;TERRABUSI;;900,00;4;;3.600,00
;7790070336118;TALLARIN;;;;LUCCHETTI;;1.000,00;10;;10.000,00
;7798138552883;TALLARIN AL HUEVO;;;;MOLTO;;1.300,00;4;;5.200,00
;7797470000809;TALLARIN AL HUEVO;;;;MAROLIO;;1.000,00;10;;10.000,00
;7797470000816;TALLARIN CON ESPINACAS;;;;MAROLIO;;1.200,00;52;;62.400,00
;2127791664001313;TAPA PARA EMPANADAS;;;;AMICI;;630,00;1;;630,00
;;;;;;Pág. 35 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7795293000020;TAPA PARA EMPANADAS CRIOLLAS;;;;DON YEYO;;1.500,00;5;;7.500,00
;7795293101116;TAPA PARA EMPANADAS HORNO ;;;;DON YEYO;;1.500,00;6;;9.000,00
;7791664001306;TAPAS DE EMPANDAS P/FREIR;;;;AMICI;;937,00;5;;4.685,00
;7798118140017;TAPAS P/ EMPANADAS;;;;DI PASCUALI;;700,00;3;;2.100,00
;7790150321065;TE  TILO /MAN/CEDRON;;;;LA VIRGINIA;;1.450,00;2;;2.900,00
;7790150380161;TE BDE DURAZNO;;;;LA VIRGINIA;;1.300,00;2;;2.600,00
;7790150250150;TE C/ CANELA;;;;LA VIRGINIA;;1.190,00;2;;2.380,00
;7790150250525;TE CHAI;;;;LA VIRGINIA;;1.300,00;2;;2.600,00
;7790150310267;TE DE BOLDO;;;;LA VIRGINIA;;1.450,00;2;;2.900,00
;7790150350171;TE DE CEDRON;;;;LA VIRGINIA;;1.200,00;5;;6.000,00
;7790150240175;TE DE LIMON;;;;LA VIRGINIA;;1.250,00;2;;2.500,00
;7790150330166;TE DE MANZANILLA;;;;LA VIRGINIA;;1.500,00;2;;3.000,00
;7790150320266;TE DE TILO;;;;LA VIRGINIA;;1.700,00;5;;8.500,00
;7790198001288;TE DEMANZANILLA;;;;GALVAN;;600,00;6;;3.600,00
;7790150370308;TE DETOX;;;;LA VIRGINIA;;1.400,00;1;;1.400,00
;7790150240526;TE FROTOS TROP;;;;LA VIRGINIA;;1.300,00;2;;2.600,00
;7790150331088;TE MANZANILLA/ANIS;;;;LA VIRGINIA;;1.500,00;1;;1.500,00
;7790150340165;TE MENTA PEPERINA;;;;LA VIRGINIA;;1.500,00;4;;6.000,00
;7790150360262;TE MEZCLA;;;;LA VIRGINIA;;1.250,00;4;;5.000,00
;7790150255049;TE ROJO;;;;LA VIRGINIA;;1.300,00;2;;2.600,00
;7790150250570;TE VERDE/JAZMIN;;;;LA VIRGINIA;;1.300,00;1;;1.300,00
;7790480008254;TE X 25 UN;;;;GREEN HILLS;;1.250,00;3;;3.750,00
;27790150211908;TE X 25 UN;;;;LA VIRGINIA;;650,00;37;;24.050,00
;7790198000342;TE X 25 UN;;;;GALVAN;;570,00;7;;3.990,00
;78605831;TIC TAC FRUTILLA;;;;;;500,00;10;;5.000,00
;78600010;TIC TAC MENTA;;;;;;290,00;4;;1.160,00
;7791632005954;TINTURA;;;;NANTYR;;1.450,00;1;;1.450,00
;7791632047220;TINTURA;;;;NANTYR;;1.450,00;1;;1.450,00
;7791632051432;TINTURA;;;;NANTYR;;1.450,00;1;;1.450,00
;7791632047183;TINTURA;;;;NANTYR;;1.450,00;1;;1.450,00
;7791632047169;TINTURA;;;;NANTYR;;1.450,00;3;;4.350,00
;7791632046995;TINTURA;;;;NANTYR;;1.450,00;1;;1.450,00
;7622300724245;TIRABUZON;;;;TERRABUSI;;850,00;2;;1.700,00
;7790070336026;TIRABUZON;;;;LUCCHETTI;;950,00;1;;950,00
;7790070342034;TIRABUZON ;;;;FAVORITA;;700,00;3;;2.100,00
;7794996000757;TIRABUZON MULTICOLOR;;;;ROBLES;;1.034,00;1;;1.034,00
;77976291;TITA;;;;TERRABUSI;;396,00;17;;6.732,00
;7790940216212;TOALLAS FEMENINA DONCELLA;;;;DONCELLA;;1.000,00;1;;1.000,00
;7790940216168;TOALLAS FEMENINAS;;;;DONCELLA;;830,00;10;;8.300,00
;7500435229555;TOALLAS FEMENINAS ;;;;ALWAYS;;1.200,00;12;;14.400,00
;7790770601950;TOALLAS FEMENINAS 8 UN;;;;NOSOTRAS;;1.100,00;6;;6.600,00
;7790250097624;TOALLAS FEMENINAS NOCTURNA;;;;LADYSOFT;;1.350,00;3;;4.050,00
;;;;;;Pág. 36 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790940216243;TOALLAS FEMENINAS NOCTURNAS;;;;DONCELLA;;866,00;3;;2.598,00
;7790770602117;TOALLAS FEMENINAS NOCTURNAS;;;;CALIPSO;;1.150,00;7;;8.050,00
;7790940216236;TOALLAS FEMENINAS ULTRAFINAS;;;;DONCELLA;;682,00;4;;2.728,00
;7790940215109;TOALLITAS HUMEDAS;;;;BABYLOOK;;2.000,00;2;;4.000,00
;7798038315830;TOALLITAS HUMEDAS;;;;DISPITA;;2.000,00;2;;4.000,00
;7790773018656;TOALLITAS HUMEDAS;;;;IDEAL;;1.300,00;1;;1.300,00
;7798038315847;TOALLITAS HUMEDAS;;;;DISPITA;;2.000,00;2;;4.000,00
;7790773018649;TOALLITAS HUMEDAS ;;;;IDEAL;;1.300,00;2;;2.600,00
;7790380023401;TODDY 180 GS;;;;TODDY;;1.200,00;5;;6.000,00
;7790380023418;TODDY 360 GS;;;;TODDY;;1.650,00;4;;6.600,00
;77974631;TOFI CHOCOLATE 28 GS;;;;;;700,00;16;;11.200,00
;7790940215116;TOLLITAS HUMEDAS;;;;BABYLOOK;;2.000,00;6;;12.000,00
;7798079670059;TOMATE TRITURADO 1 KG;;;;DON FRANCISCO;;1.500,00;9;;13.500,00
;763571825969;TOMATE TRITURADO 1 KG;;;;SANTA CLARA;;1.500,00;7;;10.500,00
;7791579069323;TOMATES EN LATAS ENTEROS;;;;MOLTO;;900,00;1;;900,00
;7790150600313;TOMILLO;;;;ALICANTE;;700,00;1;;700,00
;77939753;TOPLINE SEVEN;;;;;;600,00;25;;15.000,00
;779317064;TOPLINE SEVEN;;;;;;600,00;10;;6.000,00
;7793653000901;TORASSO 500 ML;;;;TORASSO;;600,00;1;;600,00
